IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"JZCW","1","Победа - май + 10%","2017-05-26","41E","2017-05-01","0",17032,797,1554.15,60.0,156.0,0.01,1770.16,0,0,"0     0"
"KBNA","1","","2017-05-23","41E","2017-05-01","0",55490,460,920.0,0.0,0.0,0.01,920.01,0,0,"0     0"
"KFJL","1","","2017-05-25","41E","2017-05-01","0",948,948,1969.94,0.0,0.0,0.01,1969.95,0,0,"0     0"
"KFJS","1","","2017-05-25","41E","2017-05-01","0",29610,821,1642.0,0.0,0.0,0.01,1642.01,0,0,"0     0"
"JT9W","1","","2017-05-31","41E","2017-05-01","0",42608,916,1932.76,0.0,20.0,0.01,1952.77,0,0,"0     0"
"KFJZ","1","","2017-05-25","41E","2017-05-01","0",20461,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KUT4","1","","2017-05-31","41E","2017-05-01","0",11236,715,2037.75,0.0,0.0,0.01,2037.76,0,0,"0     0"
"JTA0","1","","2017-05-22","41E","2017-05-01","0",9125,752,1530.32,0.0,0.0,0.01,1530.33,0,0,"0     0"
"JTAG","1","","2017-05-31","41E","2017-05-01","0",42613,1147,2316.94,0.0,0.0,0.01,2316.95,0,0,"0     0"
"L80V","1","","2017-05-31","41E","2017-05-01","0",23976,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
